id,femId,ch
32 ,  616,  0
0  ,  616,  1
33 ,  616,  2
1  ,  616,  3
36 ,  616,  4
4  ,  616,  5
37 ,  616,  6
5  ,  616,  7
40 ,  616,  8
8  ,  616,  9
41 ,  616,  10
9  ,  616,  11
44 ,  616,  12
12 ,  616,  13
45 ,  616,  14
13 ,  616,  15
34 ,  616,  16
2  ,  616,  17
35 ,  616,  18
3  ,  616,  19
38 ,  616,  20
6  ,  616,  21
39 ,  616,  22
7  ,  616,  23
42 ,  616,  24
10 ,  616,  25
43 ,  616,  26
11 ,  616,  27
46 ,  616,  28
14 ,  616,  29
47 ,  616,  30
15 ,  616,  31
48 ,  616,  32
16 ,  616,  33
49 ,  616,  34
17 ,  616,  35
52 ,  616,  36
20 ,  616,  37
53 ,  616,  38
21 ,  616,  39
56 ,  616,  40
24 ,  616,  41
57 ,  616,  42
25 ,  616,  43
60 ,  616,  44
28 ,  616,  45
61 ,  616,  46
29 ,  616,  47
50 ,  616,  48
18 ,  616,  49
51 ,  616,  50
19 ,  616,  51
54 ,  616,  52
22 ,  616,  53
55 ,  616,  54
23 ,  616,  55
58 ,  616,  56
26 ,  616,  57
59 ,  616,  58
27 ,  616,  59
62 ,  616,  60
30 ,  616,  61
63 ,  616,  62
31 ,  616,  63
96 ,  617,  0
64 ,  617,  1
97 ,  617,  2
65 ,  617,  3
100,  617,  4
68 ,  617,  5
101,  617,  6
69 ,  617,  7
104,  617,  8
72 ,  617,  9
105,  617,  10
73 ,  617,  11
108,  617,  12
76 ,  617,  13
109,  617,  14
77 ,  617,  15
98 ,  617,  16
66 ,  617,  17
99 ,  617,  18
67 ,  617,  19
102,  617,  20
70 ,  617,  21
103,  617,  22
71 ,  617,  23
106,  617,  24
74 ,  617,  25
107,  617,  26
75 ,  617,  27
110,  617,  28
78 ,  617,  29
111,  617,  30
79 ,  617,  31
112,  617,  32
80 ,  617,  33
113,  617,  34
81 ,  617,  35
116,  617,  36
84 ,  617,  37
117,  617,  38
85 ,  617,  39
120,  617,  40
88 ,  617,  41
121,  617,  42
89 ,  617,  43
124,  617,  44
92 ,  617,  45
125,  617,  46
93 ,  617,  47
114,  617,  48
82 ,  617,  49
115,  617,  50
83 ,  617,  51
118,  617,  52
86 ,  617,  53
119,  617,  54
87 ,  617,  55
122,  617,  56
90 ,  617,  57
123,  617,  58
91 ,  617,  59
126,  617,  60
94 ,  617,  61
127,  617,  62
95 ,  617,  63
